lith DT24/DTC GR M2R2 M2R3 M2R6 M2R9 M2RX ZDEN CNCF PE SP clay silica carbonate
7.00000 63.65500 143.25100 45.05800 48.09400 51.80100 53.76700 55.36200 2.66000 12.80500 2.15900 0.00195 28.00000 54.00000 18.00000
7.00000 65.42100 129.55100 83.65500 81.58200 86.26700 89.18700 90.26100 2.71700 17.90700 2.27000 0.81360 53.00000 33.00000 14.00000
10.00000 62.76200 48.61500 47.15000 47.15000 47.15000 47.15000 47.15000 2.58500 7.32300 1.72200 0.44158 6.00000 89.00000 5.00000
7.00000 63.55800 92.11500 41.08500 41.08500 41.11100 41.13000 41.11900 2.62800 9.18800 1.41300 0.34392 20.00000 76.00000 4.00000
4.00000 66.47900 153.40100 142.65200 163.45700 158.21800 157.58700 160.28000 2.63400 26.97500 3.11000 0.54585 54.00000 31.00000 15.00000
7.00000 59.95600 81.08200 53.14700 53.18000 53.16700 53.14700 53.14700 2.63700 12.55600 2.72000 0.18743 14.00000 68.00000 18.00000
7.00000 62.05900 129.19300 52.40700 52.39400 52.35100 52.37800 52.40500 2.63900 18.95000 2.97600 0.18730 25.00000 73.00000 2.00000
7.00000 59.62600 110.61400 77.89700 77.89700 77.89700 77.82600 77.48500 2.65200 11.58600 2.75800 0.72452 22.00000 73.00000 5.00000
7.00000 61.14800 74.59300 33.04500 44.37200 54.70500 60.93700 34.12200 2.71700 13.84800 3.25500 0.20744 16.00000 42.00000 42.00000
10.00000 66.10400 52.61900 18.36700 18.09500 17.59900 17.41300 17.33500 2.52000 8.20100 1.24600 0.43858 17.00000 62.00000 21.00000
7.00000 65.40000 121.80100 29.17800 28.87000 28.48900 28.19700 28.06600 2.55900 12.10400 1.27100 0.49492 10.00000 88.00000 2.00000
7.00000 62.80300 81.37500 80.33100 80.33100 80.33100 80.33100 80.33100 2.59500 13.61400 1.49400 0.39782 22.00000 76.00000 2.00000
7.00000 62.38700 102.94900 53.14400 53.14400 53.14400 53.13600 52.94700 2.61500 9.93100 1.57000 0.53093 13.00000 85.00000 2.00000
7.00000 63.70000 98.85500 52.08700 52.08700 52.08400 51.76600 51.51300 2.62000 11.10200 1.31900 0.51344 7.00000 92.00000 1.00000
10.00000 63.33500 165.37200 37.10500 37.10400 37.10400 37.10400 37.10400 2.62400 8.82100 1.74500 0.50079 17.00000 66.00000 17.00000
8.00000 65.20600 74.56600 47.99400 47.98500 48.08900 48.21800 48.52200 2.55000 8.21800 1.72800 0.75322 11.00000 81.00000 8.00000
8.00000 62.42100 75.17800 82.35600 82.34900 83.19400 85.40100 86.86700 2.56400 9.71600 2.27600 0.73214 17.00000 80.00000 3.00000
3.00000 62.74900 90.54600 77.93500 77.79800 77.59300 77.56100 76.85800 2.59500 13.43000 2.13300 0.54629 19.00000 76.00000 5.00000
4.00000 63.69500 83.60400 43.36200 43.36800 43.36800 43.37600 43.48300 2.60100 10.01800 1.87400 0.74156 23.00000 68.00000 9.00000
3.00000 61.50200 110.30000 53.98700 54.00700 54.03900 54.07700 54.46800 2.63000 10.75600 2.37700 0.93889 24.00000 68.00000 8.00000
4.00000 64.66000 114.08600 148.67500 148.91900 149.98000 150.69200 153.34500 2.65000 21.98600 2.73300 0.66019 19.00000 73.00000 8.00000
8.00000 63.23200 136.21800 83.18700 83.18600 83.33000 83.48500 84.09300 2.69900 21.68800 3.41000 0.88437 23.00000 60.00000 17.00000
3.00000 70.19600 96.84000 108.83800 107.34600 112.64400 116.60600 118.11000 2.51400 16.05000 1.61000 0.42884 46.00000 40.00000 14.00000
3.00000 70.14100 130.66300 22.24300 22.55600 23.20400 23.47600 23.56800 2.56300 13.94600 1.70400 0.47032 46.00000 50.00000 4.00000
3.00000 69.40400 142.70600 29.42400 29.37400 30.43000 30.88500 31.09700 2.58900 17.40200 1.67700 0.47420 61.95693 35.97149 2.07158
7.00000 63.78800 48.74400 26.83100 27.03300 27.81900 28.10500 28.21100 2.60100 11.86500 1.62200 0.45124 18.00000 67.00000 15.00000
11.00000 63.68300 33.70200 29.79500 30.27600 31.11800 31.60600 31.93400 2.60700 12.14100 1.70000 0.01446 20.00000 69.00000 11.00000
3.00000 62.41800 150.49700 170.33200 168.79100 198.52500 216.09800 220.04000 2.60900 24.92900 1.45100 0.23108 23.00000 70.00000 7.00000
3.00000 65.54700 140.60900 137.30700 169.09000 205.64100 231.42200 241.86600 2.61400 38.45000 1.29900 0.31604 21.00000 66.00000 13.00000
7.00000 62.46100 81.48400 61.94500 62.72200 65.82600 67.19000 67.57900 2.61400 11.94500 1.79900 0.54361 24.00000 71.00000 5.00000
3.00000 68.16200 138.48400 53.97400 54.96300 58.40300 59.91700 60.66100 2.62500 28.12200 2.27800 0.61924 26.00000 64.00000 10.00000
3.00000 69.24700 157.23300 92.78100 94.88000 100.78400 104.45500 107.00900 2.63300 29.90400 2.87000 0.45638 58.60191 38.17997 3.21812
3.00000 72.31700 162.56300 29.39400 30.67700 32.46900 33.27100 33.72600 2.64300 27.37600 2.44200 0.50805 64.26478 34.92345 0.81177
3.00000 70.03400 157.27300 102.61900 104.07100 111.30700 115.55900 118.07900 2.64500 28.73000 3.06100 0.45660 20.00000 76.00000 4.00000
3.00000 69.86200 155.93500 109.60000 110.45000 118.30300 122.98800 125.55400 2.65500 27.83100 3.13600 0.45605 48.39122 39.74677 11.86201
3.00000 66.32900 156.16500 131.86000 129.17300 134.86600 140.19800 142.18200 2.65600 26.64800 3.02400 0.45317 29.00000 34.00000 37.00000
8.00000 66.34200 96.47600 35.49400 35.27100 36.70600 37.33800 37.63500 2.65900 14.40400 2.31900 0.47000 16.00000 68.00000 16.00000
3.00000 65.93900 156.42400 55.49900 59.07300 65.00500 67.58600 68.89300 2.67300 24.87200 2.30400 0.52154 47.00000 48.00000 5.00000
3.00000 63.42000 124.17000 25.05300 28.47100 31.34600 32.57200 33.09200 2.67500 17.29100 2.09700 0.54451 17.00000 78.00000 5.00000
3.00000 66.70700 160.37200 66.62800 70.57800 85.00600 94.52700 98.29200 2.68700 24.98300 2.02100 0.51965 61.97643 37.13082 0.89274
3.00000 64.07500 152.12900 118.59500 119.21100 123.11200 126.86700 128.84800 2.68800 23.80300 2.68100 0.46540 68.35262 31.26453 0.00000
3.00000 66.08800 144.17800 95.01300 92.13000 96.87300 100.18700 101.28000 2.71600 28.73300 3.35200 0.51624 60.57328 38.19180 1.23492
3.00000 54.60900 175.76300 211.10900 283.02100 398.18200 501.24000 566.40100 2.73600 24.26600 1.36400 0.35294 51.90252 47.76802 NaN
3.00000 60.81300 142.72300 140.08600 140.47000 144.80100 149.60500 152.03200 2.75700 25.90600 3.68400 0.45632 50.00000 45.00000 5.00000
8.00000 65.87800 63.88100 52.48000 52.18900 54.57500 55.73800 56.26000 2.58000 12.37500 2.23700 0.18721 6.00000 86.00000 8.00000
7.00000 61.13000 80.91200 73.17300 71.88700 77.16600 79.73600 80.78200 2.64200 10.07400 2.21700 0.29148 5.00000 87.00000 8.00000
8.00000 61.65700 52.96600 60.39300 60.35400 61.18200 62.31100 62.90900 2.60000 9.84100 1.50000 0.02789 8.00000 87.00000 5.00000
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
8.00000 70.00200 88.03300 46.61000 54.56800 63.84700 68.35800 70.57700 2.53000 8.12500 1.44300 0.35000 30.00000 60.00000 10.00000
8.00000 70.21700 92.40100 39.41900 40.38700 42.30900 43.02100 43.07600 2.58200 5.59700 1.55500 0.30000 16.00000 73.00000 11.00000
8.00000 69.52800 54.14500 52.17000 53.00000 54.83800 56.68500 57.36100 2.52900 3.61400 1.46600 0.58000 5.00000 87.00000 8.00000
8.00000 63.29000 147.90300 62.81500 61.76600 62.96600 63.34000 64.24000 2.64900 14.82900 1.36300 0.30000 29.00000 64.00000 7.00000
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
8.00000 65.24200 55.06400 84.85700 74.28200 65.25500 62.78600 61.60200 2.57300 9.91500 1.73500 0.87625 5.00000 93.00000 2.00000
7.00000 65.19900 71.73000 45.95800 44.83500 42.74300 41.88400 41.53800 2.59300 6.54600 1.90000 0.28654 18.00000 72.00000 10.00000
7.00000 63.95700 91.29400 70.29300 67.72800 63.52400 61.54100 60.78000 2.67700 6.44800 1.56200 0.40665 21.00000 72.00000 7.00000
8.00000 63.61600 53.55200 40.02800 48.16400 57.36000 62.20600 64.68100 2.58600 12.58400 1.98000 0.17557 19.00000 78.00000 3.00000
