lith DTC LnM GR GR_silica GR_clay M2R2 M2R3 M2R6 M2R9 M2RX F ZDEN ZDENm CNCF CNCFm CNCF_clay TM TP TN PE SP Silica clay carbonate
7.00000 65.87600 0.45839 143.71300 1.02507 0.97524 62.98400 63.14800 63.23100 63.30900 63.25300 0.99575 2.63000 0.49324 NaN 0.56785 0.92811 1.01478 0.88579 5.21671 1.60100 0.63010 69.00000 26.00000 5.00000
7.00000 65.72400 0.82517 79.64900 1.61297 0.52192 73.01600 73.36300 74.69400 76.13500 77.24300 0.94528 2.59800 0.38514 8.08400 0.08125 1.35511 1.02456 0.78763 5.81136 1.60000 0.38779 80.60000 8.20000 11.20000
7.00000 65.69800 0.65912 99.67500 1.44114 0.63456 44.24300 47.18700 47.19600 48.52100 49.63500 0.89137 2.65700 0.58446 14.97100 0.25957 1.38387 1.00902 0.82165 5.53031 2.11900 0.81960 76.00000 24.00000 0.00000
4.00000 65.69600 0.50604 129.82500 1.15994 0.85163 72.64600 67.58800 67.37000 67.37000 67.37000 1.07831 2.78000 1.00000 39.75100 0.90119 1.10385 0.97793 0.97128 4.61601 2.80000 0.34985 35.91321 58.43545 5.65134
10.00000 65.68200 1.04363 62.93600 1.74477 0.44338 84.50700 76.84600 69.66800 67.11200 66.28100 1.27498 2.54800 0.21622 7.46700 0.06528 1.16293 1.03869 0.78504 5.90929 1.85000 0.26342 84.30000 14.60000 1.10000
7.00000 65.60300 0.38332 NaN 0.75989 1.27458 113.14500 110.75300 110.52400 110.18400 110.20700 1.02666 2.61400 0.43919 12.15900 0.18676 1.28714 1.02117 0.80825 5.67343 2.14400 0.26675 71.00000 27.00000 2.00000
8.00000 65.47400 1.00483 65.15900 1.72789 0.45310 40.45700 48.44900 58.33800 63.79300 66.49300 0.60844 2.58900 0.35473 15.92300 0.28422 1.07305 1.02894 0.82826 5.60441 1.94400 0.23509 81.00000 13.00000 6.00000
7.00000 65.42100 0.50498 129.55100 1.16258 0.84936 83.65500 81.58200 86.26700 89.18700 90.26100 0.92681 2.71700 0.78716 17.90700 0.33559 1.57077 0.99570 0.83904 5.36307 2.27000 0.81360 33.00000 53.00000 14.00000
7.00000 65.40000 0.53694 121.80100 1.23678 0.78749 29.17800 28.87000 28.48900 28.19700 28.06600 1.03962 2.55900 0.25338 12.10400 0.18534 1.07041 1.03778 0.80954 5.76107 1.27100 0.49492 88.00000 10.00000 2.00000
10.00000 65.35700 0.85359 76.56700 1.63811 0.50646 131.63200 119.93700 113.23300 107.76800 106.26100 1.23876 2.57600 0.31081 15.70200 0.27850 1.03284 1.03340 0.82802 5.63085 1.88000 0.41531 52.60000 46.40000 1.00000
